2008-04-02 19:59:27,140 [main] DEBUG o.b.a.meetme.ConferenceRoomListener - RoomListener started...
2008-04-02 19:59:27,171 [main] DEBUG o.b.asterisk.meetme.Application - Setting voice Services...
2008-04-02 19:59:27,171 [main] INFO  o.b.asterisk.meetme.Application - MeetMe::appStart - 
2008-04-02 19:59:27,203 [main] INFO  o.b.asterisk.AsteriskVoiceService - Logging at 134.117.254.226:5038
2008-04-02 20:00:17,265 [pool-4-thread-4] INFO  o.b.asterisk.meetme.Application - MeetMe::roomStart - 85115
2008-04-02 20:00:17,265 [pool-4-thread-4] INFO  o.b.asterisk.meetme.Application - MeetMe::appConnect - 1
2008-04-02 20:00:17,265 [pool-4-thread-4] INFO  o.b.asterisk.meetme.Application - MeetMe::roomConnect 1
2008-04-02 20:00:17,281 [pool-4-thread-4] INFO  o.b.a.meetme.ConferenceRoomListener - MeetMe::roomListener - There are 1 current users in room [85115]
2008-04-02 20:00:17,437 [pool-4-thread-4] INFO  o.b.asterisk.meetme.Application - MeetMe::roomJoin - 1
2008-04-02 20:00:18,406 [pool-4-thread-8] INFO  o.b.asterisk.meetme.Application - Received result Okay for setRoomNumber
2008-04-02 20:00:18,937 [pool-4-thread-8] DEBUG o.b.asterisk.meetme.MeetMeService - GetMeetmeUsers request for room[85115]
2008-04-02 20:00:18,937 [pool-4-thread-8] INFO  o.b.asterisk.meetme.MeetMeService - MeetMe::service - Getting current users for room 85115
2008-04-02 20:00:18,937 [pool-4-thread-8] INFO  o.b.a.meetme.ConferenceRoomListener - MeetMe::roomListener - There are 1 current users in room [85115]
2008-04-02 20:00:18,937 [pool-4-thread-8] INFO  o.b.asterisk.meetme.MeetMeService - MeetMe::service - There are 1 current users...
2008-04-02 20:00:18,953 [pool-4-thread-8] INFO  o.b.asterisk.meetme.MeetMeService - MeetMe::service - Sending 1 current users...
2008-04-02 20:00:22,250 [pool-4-thread-13] DEBUG o.b.asterisk.meetme.MeetMeService - MuteUnmuteAll request for room[85115]
2008-04-02 20:00:22,250 [pool-4-thread-13] INFO  o.b.asterisk.meetme.MeetMeService - MeetMe::service - Getting current users for room 85115
2008-04-02 20:00:22,250 [pool-4-thread-13] INFO  o.b.a.meetme.ConferenceRoomListener - MeetMe::roomListener - There are 1 current users in room [85115]
2008-04-02 20:00:22,250 [pool-4-thread-13] INFO  o.b.asterisk.meetme.MeetMeService - MeetMe::service - There are 1 current users...
2008-04-02 20:00:22,468 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'false' new = 'true' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
2008-04-02 20:00:22,468 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = true
2008-04-02 20:00:22,468 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,true]
2008-04-02 20:00:22,468 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'false' new = 'true' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
2008-04-02 20:00:22,468 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = true
2008-04-02 20:00:22,468 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,true]
2008-04-02 20:00:22,468 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'false' new = 'true' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
2008-04-02 20:00:22,468 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = true
2008-04-02 20:00:22,468 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,true]
2008-04-02 20:00:23,500 [pool-4-thread-14] DEBUG o.b.asterisk.meetme.MeetMeService - MuteUnmuteAll request for room[85115]
2008-04-02 20:00:23,500 [pool-4-thread-14] INFO  o.b.asterisk.meetme.MeetMeService - MeetMe::service - Getting current users for room 85115
2008-04-02 20:00:23,500 [pool-4-thread-14] INFO  o.b.a.meetme.ConferenceRoomListener - MeetMe::roomListener - There are 1 current users in room [85115]
2008-04-02 20:00:23,500 [pool-4-thread-14] INFO  o.b.asterisk.meetme.MeetMeService - MeetMe::service - There are 1 current users...
2008-04-02 20:00:24,859 [pool-4-thread-15] DEBUG o.b.asterisk.meetme.MeetMeService - MuteUnmuteAll request for room[85115]
2008-04-02 20:00:24,859 [pool-4-thread-15] INFO  o.b.asterisk.meetme.MeetMeService - MeetMe::service - Getting current users for room 85115
2008-04-02 20:00:24,859 [pool-4-thread-15] INFO  o.b.a.meetme.ConferenceRoomListener - MeetMe::roomListener - There are 1 current users in room [85115]
2008-04-02 20:00:24,859 [pool-4-thread-15] INFO  o.b.asterisk.meetme.MeetMeService - MeetMe::service - There are 1 current users...
2008-04-02 20:00:24,937 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'true' new = 'false' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
2008-04-02 20:00:24,937 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = false
2008-04-02 20:00:24,937 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,false]
2008-04-02 20:00:24,937 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'true' new = 'false' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
2008-04-02 20:00:24,937 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = false
2008-04-02 20:00:24,937 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,false]
2008-04-02 20:00:24,937 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'true' new = 'false' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
2008-04-02 20:00:24,937 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = false
2008-04-02 20:00:24,937 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,false]
